,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
8271,8271,Reflektion,"Commerce and Shopping, Data and Analytics, Software, Artificial Intelligence","San Mateo, California, United States",1/1/12,2/23/16,18000000,Series B,29300000,Operating
8272,8272,Reflektive,Data and Analytics,"San Francisco, California, United States",1/1/14,1/26/17,25000000,Series B,41600000,Operating
8273,8273,Reflexion Health,Health Care,"San Diego, California, United States",1/1/12,6/22/16,18000000,Series B,29750000,Operating
8274,8274,Reserve,"Apps, Food and Beverage, Software, Payments, Financial Services, Mobile","New York, New York, United States",1/1/14,2/1/17,10000000,Series B,25000000,Operating
8275,8275,Rigetti Computing,"Science and Engineering, Hardware, Data and Analytics, Software, Artificial Intelligence","Berkeley, California, United States",1/1/13,3/28/17,40000000,Series B,69450000,Operating
8276,8276,Rinse,"Commerce and Shopping, Real Estate, Internet Services","San Francisco, California, United States",5/7/13,6/21/17,14000000,Series B,23500000,Operating
8277,8277,Ripple Foods,"Sustainability, Food and Beverage","Emeryville, California, United States",1/1/14,7/7/16,30000000,Series B,43637592,Operating
8278,8278,RoadRunner Recycling,"Sustainability, Transportation","Pittsburgh, Pennsylvania, United States",8/1/14,3/23/17,8837980,Series B,10537980,Operating
8279,8279,Roambee Corporation,"Transportation, Internet Services, Financial Services","Santa Clara, California, United States",1/1/14,1/12/17,4100000,Series B,6550000,Operating
8280,8280,Rocketrip,"Travel and Tourism, Software, Internet Services","New York, New York, United States",1/1/13,6/20/16,9000000,Series B,17175000,Operating
8281,8281,Rodin Therapeutics,"Biotechnology, Science and Engineering, Health Care","Cambridge, Massachusetts, United States",1/1/13,1/6/16,17300000,Series B,30200000,Operating
8282,8282,Roofstock,"Commerce and Shopping, Real Estate, Financial Services","Oakland, California, United States",1/1/15,11/14/16,20000000,Series B,33250000,Operating
8283,8283,Roost,"Consumer Electronics, Real Estate","Sunnyvale, California, United States",1/1/14,8/23/17,10400000,Series B,16875000,Operating
8284,8284,Rubius Therapeutics,"Biotechnology, Science and Engineering, Health Care","Cambridge, Massachusetts, United States",1/1/13,6/21/17,120000000,Series B,145000000,Operating
8286,8286,SageCloud,"Hardware, Information Technology, Software, Professional Services","Boston, Massachusetts, United States",1/1/12,6/11/13,10000000,Series B,13201789,Operating
8287,8287,SalesWise,"Information Technology, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications","Atlanta, Georgia, United States",1/1/14,12/27/16,1300000,Series B,3800000,Operating
8288,8288,Sapho,"Apps, Software, Internet Services","San Bruno, California, United States",1/1/14,4/19/17,14000000,Series B,27850000,Operating
8289,8289,Scholar Rock,"Biotechnology, Science and Engineering, Health Care","Cambridge, Massachusetts, United States",1/1/12,1/4/16,36000000,Series B,56000000,Operating
8290,8290,Scioderm,"Biotechnology, Science and Engineering, Health Care","Durham, North Carolina, United States",1/1/12,12/18/14,20000000,Series B,37000000,Was Acquired
8291,8291,Scout RFP,"Software, Transportation","San Francisco, California, United States",10/1/14,6/7/17,15500000,Series B,27250000,Operating
8292,8292,scPharmaceuticals,Health Care,"Lexington, Massachusetts, United States",1/1/14,1/4/17,45600000,Series B,61600000,Operating
8293,8293,Secret,"Apps, Media and Entertainment, Software, Internet Services","San Francisco, California, United States",10/1/13,7/14/14,25000000,Series B,35025000,Closed
8294,8294,SecurityScorecard Inc.,"Hardware, Information Technology, Software, Internet Services, Privacy and Security","New York, New York, United States",1/1/13,6/23/16,20000000,Series B,34700000,Operating
8295,8295,Sedona Systems,Hardware,"Cupertino, California, United States",1/1/14,8/3/16,13600000,Series B,13600000,Operating
8296,8296,Selfscore,"Data and Analytics, Software, Payments, Internet Services, Financial Services, Lending and Investments, Artificial Intelligence","Palo Alto, California, United States",1/1/12,8/24/16,7100000,Series B,14350000,Operating
8297,8297,Semantic Machines,"Data and Analytics, Community and Lifestyle, Design, Mobile","Newton, Massachusetts, United States",1/1/14,12/23/15,12380178,Series B,12380178,Operating
8298,8298,Senhwa Biosciences,"Biotechnology, Science and Engineering, Software, Health Care","San Diego, California, United States",1/1/13,12/12/13,17000000,Series B,17000000,Operating
8299,8299,Sense.ly,"Data and Analytics, Software, Health Care","San Francisco, California, United States",5/1/13,2/14/17,8000000,Series B,11778000,Operating
8300,8300,Sensoro,"Hardware, Real Estate, Internet Services, Financial Services, Mobile","Seattle, Washington, United States",7/1/13,4/24/17,18000000,Series B,28000000,Operating
8301,8301,ServiceTitan,"Real Estate, Software","Glendale, California, United States",1/1/13,3/15/17,80000000,Series B,98955000,Operating
8302,8302,SERVIZ,"Commerce and Shopping, Real Estate","Sherman Oaks, California, United States",1/1/14,12/16/14,12500000,Series B,19999890,Operating
8303,8303,ShipBob,"Transportation, Mobile","Chicago, Illinois, United States",1/1/14,6/13/17,17500000,Series B,22520000,Operating
8304,8304,Shipt,"Commerce and Shopping, Food and Beverage, Administrative Services","Birmingham, Alabama, United States",1/1/14,6/5/17,40000000,Series B,65200000,Operating
8305,8305,ShopTap Industries,,"San Francisco, California, United States",1/1/12,4/10/14,10000000,Series B,16200000,Closed
8306,8306,Shyp,"Administrative Services, Transportation","San Francisco, California, United States",7/1/13,4/21/15,50000000,Series B,62100000,Operating
8307,8307,Sight Machine,"Manufacturing, Science and Engineering, Hardware, Data and Analytics, Software, Transportation, Internet Services, Artificial Intelligence","San Francisco, California, United States",1/1/12,11/16/16,6000000,Series B,30517000,Operating
8308,8308,Signal Sciences,"Apps, Information Technology, Software, Privacy and Security","Venice, California, United States",3/10/14,5/9/17,15000000,Series B,26700000,Operating
8309,8309,SignalFx,"Apps, Information Technology, Software","San Mateo, California, United States",2/1/13,1/1/15,20000000,Series B,28500000,Operating
8310,8310,Simplify Medical,Health Care,"Mountain View, California, United States",1/1/13,7/19/17,21000000,Series B,21000000,Operating
8311,8311,Sintavia,Science and Engineering,"Davie, Florida, United States",1/1/12,3/1/17,15000000,Series B,25000000,Operating
8312,8312,SIPX,"Information Technology, Software, Education, Internet Services","Palo Alto, California, United States",1/1/12,8/1/13,4000000,Series B,6400000,Was Acquired
8313,8313,SirionLabs,Software,"Dublin, California, United States",1/1/12,7/12/16,12250000,Series B,16950000,Operating
8314,8314,SiteZeus,Real Estate,"Tampa, Florida, United States",1/1/13,8/3/16,1500000,Series B,3700000,Operating
8315,8315,Skillz,"Gaming, Sports, Mobile","San Francisco, California, United States",4/1/12,9/24/15,15000000,Series B,31000000,Operating
8316,8316,Skuid,"Apps, Information Technology, Data and Analytics, Software, Sales and Marketing, Design, Mobile","Chattanooga, Tennessee, United States",3/1/13,3/13/17,25000000,Series B,31622100,Operating
8317,8317,Skycatch,"Science and Engineering, Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software, Consumer Goods, Internet Services, Artificial Intelligence","San Francisco, California, United States",1/1/13,8/19/15,22000000,Series B,46670000,Operating
8318,8318,Skycure,"Information Technology, Privacy and Security, Mobile","Palo Alto, California, United States",1/1/12,7/19/16,16500000,Series B,27500000,Was Acquired
8319,8319,SmartAsset,"Data and Analytics, Financial Services","New York, New York, United States",1/1/12,9/8/16,12000000,Series B,23431095,Operating
8320,8320,Socure,"Media and Entertainment, Information Technology, Data and Analytics, Software, Internet Services, Privacy and Security, Financial Services, Artificial Intelligence","New York, New York, United States",9/1/12,8/9/17,13900000,Series B,31900000,Operating
8321,8321,"Solera Health, Inc.","Information Technology, Health Care, Mobile","Phoenix, Arizona, United States",10/1/15,7/12/17,18300000,Series B,30299997,Operating
8322,8322,SolidEnergy,"Natural Resources, Energy, Transportation","Waltham, Massachusetts, United States",1/1/12,1/29/16,12000000,Series B,20500000,Operating
8323,8323,Soothe,Health Care,"Los Angeles, California, United States",3/1/13,3/9/16,35000000,Series B,47300000,Operating
8324,8324,Sourcepoint,"Manufacturing, Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States",6/1/15,1/25/17,16000000,Series B,26000000,Operating
8325,8325,Soylent,"Food and Beverage, Health Care","Los Angeles, California, United States",1/1/13,5/4/17,50000000,Series B,72420000,Operating
8326,8326,Spark Therapeutics,"Biotechnology, Science and Engineering, Health Care","Philadelphia, Pennsylvania, United States",1/1/13,5/27/14,72800000,Series B,122800000,IPO
8327,8327,SparkCognition,"Information Technology, Data and Analytics, Software, Privacy and Security, Artificial Intelligence","Austin, Texas, United States",1/1/13,6/26/17,32500000,Series B,38870000,Operating
8328,8328,Sparkfund,"Energy, Sustainability, Data and Analytics, Professional Services, Financial Services","Washington, District of Columbia, United States",9/5/13,2/2/17,7000000,Series B,14569000,Operating
8329,8329,SpinGo,"Media and Entertainment, Events","Draper, Utah, United States",1/7/12,3/22/17,3000000,Series B,12964997,Operating
8330,8330,Spire,"Information Technology, Data and Analytics, Software","San Francisco, California, United States",1/1/12,6/30/15,40000000,Series B,69500000,Operating
8331,8331,Splice Machine,"Information Technology, Data and Analytics","San Francisco, California, United States",1/1/12,1/20/16,9600000,Series B,31600000,Operating
8332,8332,Sprig,"Travel and Tourism, Commerce and Shopping, Administrative Services, Internet Services","San Francisco, California, United States",4/1/13,4/15/15,45000000,Series B,56700000,Closed
8333,8333,Springbot,"Commerce and Shopping, Data and Analytics, Software, Sales and Marketing","Atlanta, Georgia, United States",1/1/12,12/15/16,10000000,Series B,20000000,Operating
8334,8334,SQZ Biotech,"Biotechnology, Science and Engineering, Software, Health Care","Somerville, Massachusetts, United States",1/1/13,12/1/16,4000000,Series B,25115000,Operating
8335,8335,Stackdriver,"Apps, Software, Internet Services","Boston, Massachusetts, United States",6/22/12,9/18/13,10000000,Series B,15000000,Was Acquired
8336,8336,Starboard Storage Systems,"Hardware, Consumer Electronics, Software","Broomfield, Colorado, United States",2/13/12,5/13/12,13000000,Series B,13000000,Closed
8337,8337,Starry,"Hardware, Internet Services, Mobile","Boston, Massachusetts, United States",1/1/14,12/19/16,30000000,Series B,30000000,Operating
8338,8338,Stormpath,"Information Technology, Software, Privacy and Security","San Mateo, California, United States",1/1/12,9/28/15,15000000,Series B,24700000,Was Acquired
8339,8339,StreamSets,"Data and Analytics, Software","San Francisco, California, United States",1/1/14,5/31/17,20000000,Series B,32500000,Operating
8340,8340,stride health,"Health Care, Financial Services","San Francisco, California, United States",1/1/13,8/22/17,23500000,Series B,38900000,Operating
8341,8341,Striim,"Hardware, Consumer Electronics, Data and Analytics, Software","Palo Alto, California, United States",5/17/12,9/14/15,30000000,Series B,42000000,Operating
8342,8342,SunCommon,"Energy, Sustainability","Waterbury Center, Vermont, United States",1/1/12,4/4/14,1250000,Series B,1250000,Operating
8343,8343,Superpedestrian,Transportation,"Cambridge, Massachusetts, United States",12/1/12,6/1/15,21000000,Series B,25200000,Operating
8344,8344,SurfWatch Labs,"Media and Entertainment, Information Technology, Data and Analytics, Internet Services, Privacy and Security","Sterling, Virginia, United States",1/1/13,8/17/16,4000000,Series B,12700011,Operating
8345,8345,Surterra Holdings Inc.,"Food and Beverage, Community and Lifestyle, Health Care","Atlanta, Georgia, United States",1/2/14,11/9/16,15000000,Series B,25000000,Operating
8346,8346,Swift Navigation,"Science and Engineering, Hardware, Navigation and Mapping, Consumer Electronics, Software, Transportation, Consumer Goods","San Francisco, California, United States",1/1/12,6/28/17,34000000,Series B,47600000,Operating
8347,8347,Swiftype,"Commerce and Shopping, Software, Sales and Marketing, Internet Services","San Francisco, California, United States",1/1/12,3/5/15,13000000,Series B,22200000,Operating
8348,8348,Symic Biomedical,"Biotechnology, Science and Engineering, Data and Analytics, Health Care","Emeryville, California, United States",1/1/12,5/22/17,30000000,Series B,72875687,Operating
8349,8349,Synthego,"Biotechnology, Manufacturing, Science and Engineering, Software, Health Care","Redwood City, California, United States",7/1/12,1/4/17,41000000,Series B,49544226,Operating
8350,8350,Synthorx,"Biotechnology, Science and Engineering","La Jolla, California, United States",1/1/14,7/19/16,10000000,Series B,16000000,Operating
8351,8351,Syntimmune,"Biotechnology, Science and Engineering, Health Care","New York, New York, United States",1/1/13,6/21/17,50000000,Series B,58000000,Operating
8352,8352,Sysdig,"Software, Internet Services","San Francisco, California, United States",1/1/13,4/21/16,15000000,Series B,28000000,Operating
8353,8353,T-REX,Financial Services,"New York, New York, United States",5/4/12,5/24/17,2600000,Series B,13800000,Operating
8354,8354,Tact,"Information Technology, Software, Sales and Marketing, Mobile","Redwood City, California, United States",1/1/12,12/12/16,15000000,Series B,26200000,Operating
8355,8355,Talkspace,Health Care,"New York, New York, United States",6/1/12,6/14/16,15000000,Series B,28000000,Operating
8356,8356,TeamBlind,"Media and Entertainment, Community and Lifestyle, Internet Services, Mobile","San Francisco, California, United States",5/30/13,5/15/17,6000000,Series B,6000000,Operating
8357,8357,Teem,"Data and Analytics, Software, Messaging and Telecommunications, Mobile","Salt Lake City, Utah, United States",9/1/12,8/17/16,13500000,Series B,21500000,Operating
8358,8358,Teewinot Life Sciences,"Biotechnology, Science and Engineering","Tampa, Florida, United States",1/1/15,5/1/17,12300000,Series B,19300000,Operating
8359,8359,Tempered Networks,"Hardware, Information Technology, Privacy and Security","Seattle, Washington, United States",1/1/12,8/22/16,10000000,Series B,32050000,Operating
8360,8360,TenNor Therapeutics,"Biotechnology, Science and Engineering, Health Care","Westfield, New Jersey, United States",1/1/13,9/19/16,25000000,Series B,25000000,Operating
8361,8361,Teridion,"Hardware, Information Technology, Internet Services","San Francisco, California, United States",1/1/13,9/30/15,15000000,Series B,20000000,Operating
8362,8362,Terminus Software,"Information Technology, Software, Sales and Marketing, Advertising","Atlanta, Georgia, United States",1/1/14,5/15/17,10300000,Series B,19600000,Operating
8363,8363,Textio,"Data and Analytics, Software, Artificial Intelligence","Seattle, Washington, United States",9/25/14,6/21/17,20000000,Series B,29500000,Operating
8364,8364,Thanx,"Sales and Marketing, Mobile","San Francisco, California, United States",1/1/12,12/8/16,17100000,Series B,23100000,Operating
8365,8365,Thatgamecompany,"Gaming, Software, Design","Santa Monica, California, United States",5/12/12,5/27/14,7300000,Series B,12800000,Operating
8366,8366,The Black Tux,"Commerce and Shopping, Clothing and Apparel, Internet Services, Design","Santa Monica, California, United States",1/1/12,9/9/15,20000000,Series B,35000000,Operating
8367,8367,The Dodo,"Media and Entertainment, Community and Lifestyle, Video","New York, New York, United States",1/13/14,11/9/15,11500000,Series B,18178569,Operating
8368,8368,The ONE Music Group,"Manufacturing, Media and Entertainment, Music and Audio","San Francisco, California, United States",1/1/13,1/19/16,10000000,Series B,10000000,Operating
8369,8369,The Skimm,"Media and Entertainment, Clothing and Apparel, Content and Publishing, Design","New York, New York, United States",1/1/12,9/26/16,500000,Series B,16389577,Operating
8370,8370,Threat Stack,"Information Technology, Privacy and Security","Boston, Massachusetts, United States",11/1/12,4/15/16,15367290,Series B,27266785,Operating
8371,8371,ThreatQuotient,"Information Technology, Privacy and Security","Reston, Virginia, United States",3/1/13,8/23/16,12000000,Series B,27200000,Operating
8372,8372,Thuzio,"Media and Entertainment, Information Technology, Events, Sales and Marketing, Advertising","New York, New York, United States",1/1/12,10/1/15,9600000,Series B,22600000,Operating
8373,8373,Tile,"Hardware, Consumer Electronics, Internet Services, Mobile","San Mateo, California, United States",12/1/12,5/16/17,25000000,Series B,59000000,Operating
8374,8374,Tilt,"Payments, Internet Services, Financial Services","San Francisco, California, United States",2/8/12,7/8/15,25000000,Series B,62100000,Was Acquired
8375,8375,TINYpulse,Software,"Seattle, Washington, United States",11/1/12,12/10/15,6000000,Series B,9500000,Operating
8376,8376,Tizona Therapeutics,"Biotechnology, Science and Engineering, Health Care","South San Francisco, California, United States",1/1/14,3/8/16,43000000,Series B,70000000,Operating
8377,8377,TodayTix,"Commerce and Shopping, Media and Entertainment, Events, Software, Mobile","New York, New York, United States",3/1/13,2/24/16,9000000,Series B,15682500,Operating
8378,8378,"Tophatter, Inc.","Commerce and Shopping, Internet Services","Palo Alto, California, United States",12/1/12,5/11/17,21000000,Series B,21000000,Operating
8379,8379,Touch of Modern,"Commerce and Shopping, Clothing and Apparel, Design","San Francisco, California, United States",5/1/12,6/19/14,14000000,Series B,17000000,Operating
8380,8380,Townsquared,"Media and Entertainment, Community and Lifestyle, Software, Professional Services, Internet Services","San Francisco, California, United States",1/1/13,8/2/16,11050000,Series B,16310000,Operating
8381,8381,TRACE Live Network,"Hardware, Media and Entertainment, Software, Video, Content and Publishing","Venice, California, United States",1/1/14,7/15/15,7000000,Series B,9500000,Operating
8382,8382,TripleLift,"Media and Entertainment, Data and Analytics, Sales and Marketing, Advertising","New York, New York, United States",1/9/12,6/11/15,10500000,Series B,16625000,Operating
8383,8383,Trumaker,"Commerce and Shopping, Sales and Marketing, Clothing and Apparel, Design","San Francisco, California, United States",9/1/12,6/1/15,13000000,Series B,21400000,Operating
8384,8384,TruMed Systems,"Commerce and Shopping, Health Care","La Jolla, California, United States",1/1/12,1/14/15,5500000,Series B,5500000,Operating
8385,8385,Trusona,"Information Technology, Internet Services, Privacy and Security","Scottsdale, Arizona, United States",2/1/15,6/13/17,10000000,Series B,18000000,Operating
8386,8386,Tubi TV,"Media and Entertainment, Video","San Francisco, California, United States",1/1/14,5/8/17,20000000,Series B,30000000,Operating
8387,8387,Turi,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Seattle, Washington, United States",5/1/13,1/8/15,18500000,Series B,25250000,Was Acquired
8388,8388,Turnstone Biologics,"Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States",1/1/15,11/2/16,41400000,Series B,52700000,Operating
8389,8389,Twice,"Commerce and Shopping, Clothing and Apparel, Design","San Francisco, California, United States",1/1/12,1/16/14,18500000,Series B,23100000,Was Acquired
8390,8390,Twistlock,"Information Technology, Software, Privacy and Security","San Francisco, California, United States",1/9/15,4/25/17,17000000,Series B,30060000,Operating
8391,8391,Two Bit Circus,"Gaming, Travel and Tourism, Media and Entertainment","Los Angeles, California, United States",1/1/12,1/19/17,15000000,Series B,21500000,Operating
8392,8392,Ubimo,"Hardware, Sales and Marketing, Mobile, Advertising","New York, New York, United States",1/1/12,5/26/15,7500000,Series B,9500000,Operating
8393,8393,uBiome,"Biotechnology, Data and Analytics, Software, Health Care, Artificial Intelligence","San Francisco, California, United States",1/1/12,11/1/16,22000000,Series B,26971193,Operating
8394,8394,Ubiquity Global Services,"Administrative Services, Professional Services","New York, New York, United States",1/1/12,11/13/13,4000000,Series B,8000000,Operating
8395,8395,UNIFi Software,"Data and Analytics, Software","San Francisco, California, United States",11/30/13,3/14/17,17500000,Series B,32000000,Operating
8396,8396,United Wind,"Natural Resources, Energy, Sustainability","Brooklyn, New York, United States",1/1/13,3/7/16,8000000,Series B,210505000,Operating
8397,8397,UpGuard,"Science and Engineering, Information Technology, Data and Analytics, Software, Privacy and Security, Financial Services, Artificial Intelligence","San Francisco, California, United States",1/1/12,8/11/16,17000000,Series B,26975000,Operating
8398,8398,US HealthVest,"Biotechnology, Science and Engineering, Health Care","New York, New York, United States",1/1/12,6/30/16,50000000,Series B,86000000,Operating
8399,8399,Usermind,"Information Technology, Data and Analytics, Software, Sales and Marketing","Seattle, Washington, United States",6/12/13,3/16/16,14500000,Series B,22100000,Operating
8400,8400,Veem,"Information Technology, Software, Payments, Financial Services","San Francisco, California, United States",2/1/14,3/8/17,24000000,Series B,44250000,Operating
8401,8401,Velano Vascular,Health Care,"San Francisco, California, United States",1/1/12,3/7/17,17000000,Series B,26200000,Operating
8402,8402,Velicept Therapeutics,Health Care,"Malvern, Pennsylvania, United States",1/1/15,12/1/15,21000000,Series B,21000000,Operating
8403,8403,Velocity,"Travel and Tourism, Sales and Marketing, Financial Services, Mobile","New York, New York, United States",4/1/14,8/29/16,22500000,Series B,39916139,Operating
8404,8404,Velostrata,"Hardware, Information Technology, Software, Internet Services","San Jose, California, United States",1/1/14,8/3/16,17500000,Series B,31500000,Operating
8405,8405,Veniam,"Hardware, Transportation, Internet Services, Mobile","Mountain View, California, United States",1/1/12,2/11/16,22000000,Series B,26900000,Operating
8406,8406,VenueNext,Travel and Tourism,"Palo Alto, California, United States",1/1/13,10/11/16,15000000,Series B,24000000,Operating
8407,8407,Verato,"Information Technology, Data and Analytics, Health Care, Internet Services, Privacy and Security","Mclean, Virginia, United States",2/1/12,2/6/17,12500000,Series B,25000000,Operating
8408,8408,Veritas Genetics,"Biotechnology, Science and Engineering, Health Care","Danvers, Massachusetts, United States",1/1/14,10/17/16,30000000,Series B,42000000,Operating
8409,8409,Versa Networks,"Hardware, Information Technology, Privacy and Security","Santa Clara, California, United States",9/1/12,11/10/14,29000000,Series B,43350000,Operating
8410,8410,Verse,"Software, Payments, Financial Services, Mobile","San Mateo, California, United States",2/1/15,5/16/17,20500000,Series B,30600000,Operating
8411,8411,Vessel,"Media and Entertainment, Internet Services, Video","San Francisco, California, United States",1/1/13,4/17/15,57500000,Series B,132500000,Was Acquired
8412,8412,Victorious,"Media and Entertainment, Software, Internet Services, Video","Santa Monica, California, United States",1/1/13,5/24/16,25000000,Series B,50000000,Operating
8413,8413,VictorOps,"Information Technology, Software, Mobile","Boulder, Colorado, United States",12/27/12,12/16/16,15000000,Series B,33700000,Operating
8414,8414,Vida Health,"Commerce and Shopping, Information Technology, Health Care","San Francisco, California, United States",1/1/14,12/8/16,18000000,Series B,24300000,Operating
8415,8415,Violet Grey,"Commerce and Shopping, Clothing and Apparel, Design","Los Angeles, California, United States",7/4/12,8/31/15,12858178,Series B,17583181,Operating
8416,8416,Viracta Therapeutics,"Biotechnology, Science and Engineering","San Diego, California, United States",11/1/16,4/4/17,18400000,Series B,18400000,Operating
8417,8417,VisCardia,Health Care,"Beaverton, Oregon, United States",1/1/15,2/1/17,12500000,Series B,12900000,Operating
8418,8418,Visunex Medical Systems,"Health Care, Mobile","Fremont, California, United States",1/1/16,5/7/17,20000000,Series B,20000000,Operating
8419,8419,Viv,"Science and Engineering, Data and Analytics, Software, Education, Artificial Intelligence","San Jose, California, United States",1/1/12,11/19/15,7500000,Series B,30000000,Was Acquired
8420,8420,Vivace Therapeutics,,"San Mateo, California, United States",1/1/14,6/28/17,25000000,Series B,40000000,Operating
8421,8421,Vlocity,"Apps, Software, Mobile","San Francisco, California, United States",1/1/14,9/20/16,50000000,Series B,92800000,Operating
8422,8422,Voyager Therapeutics,"Biotechnology, Science and Engineering, Health Care","Cambridge, Massachusetts, United States",1/1/13,4/13/15,60000000,Series B,135000000,IPO
8424,8424,Walker & Company Brands,"Commerce and Shopping, Health Care, Consumer Goods","Palo Alto, California, United States",4/18/13,9/28/15,24000000,Series B,33300000,Operating
8425,8425,Watchwith,"Sales and Marketing, Advertising","San Francisco, California, United States",3/20/12,11/13/15,2000000,Series B,12272810,Was Acquired
8426,8426,Waterline Data,"Hardware, Information Technology, Data and Analytics, Software, Internet Services","Mountain View, California, United States",1/1/13,1/28/16,16000000,Series B,23000000,Operating
8427,8427,Wavefront,"Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software, Internet Services, Design","Palo Alto, California, United States",1/2/13,10/24/16,52000000,Series B,65500000,Was Acquired
8428,8428,WayUp,"Professional Services, Education, Internet Services","New York, New York, United States",9/1/14,3/23/17,18500000,Series B,27468000,Operating
8429,8429,Weka.IO,"Hardware, Information Technology, Software, Internet Services","San Jose, California, United States",1/1/13,6/7/16,32000000,Series B,42000000,Operating
8430,8430,WellAware,"Natural Resources, Energy, Data and Analytics, Software","San Antonio, Texas, United States",1/1/12,9/1/15,16000000,Series B,61000000,Operating
8431,8431,WellRight,"Software, Health Care, Internet Services","Chicago, Illinois, United States",1/1/13,10/15/14,625000,Series B,4625000,Operating
8432,8432,WHILL,"Science and Engineering, Hardware, Software, Health Care, Transportation, Internet Services, Mobile","San Carlos, California, United States",5/1/12,5/31/16,17500000,Series B,30350000,Operating
8433,8433,Whistle,"Apps, Hardware, Consumer Electronics, Software, Internet Services, Mobile","San Francisco, California, United States",1/1/12,1/29/15,15000000,Series B,21000000,Was Acquired
8434,8434,White Ops,"Sales and Marketing, Internet Services, Privacy and Security, Advertising","New York, New York, United States",1/1/12,9/19/16,20000000,Series B,33000000,Operating
8435,8435,Wildflower Health,"Sports, Health Care, Mobile","San Francisco, California, United States",1/1/12,6/26/15,5000000,Series B,6805790,Operating
8436,8436,Wonder Workshop (Formerly Play-i),"Science and Engineering, Hardware, Consumer Electronics, Software","San Mateo, California, United States",11/1/12,7/28/16,20000000,Series B,37340000,Operating
8437,8437,Work Truck Solutions,"Transportation, Internet Services","Chico, California, United States",1/1/14,6/29/17,5000000,Series B,7050000,Operating
8438,8438,Workable,"Software, Professional Services, Internet Services","Boston, Massachusetts, United States",7/12/12,9/30/15,27000000,Series B,34155362,Operating
8439,8439,Workspot,"Hardware, Information Technology, Software, Internet Services","Cupertino, California, United States",8/1/12,10/18/16,12200000,Series B,21825000,Operating
8440,8440,World View Enterprises,"Science and Engineering, Travel and Tourism, Software","Tucson, Arizona, United States",1/1/13,4/28/16,15000000,Series B,15250000,Operating
8441,8441,Wunwun,"Commerce and Shopping, Mobile","New York, New York, United States",9/1/13,2/18/14,16000000,Series B,17500000,Was Acquired
8442,8442,WuXi NextCODE,"Biotechnology, Science and Engineering, Data and Analytics, Health Care","Cambridge, Massachusetts, United States",1/1/13,5/2/17,75000000,Series B,90000000,Was Acquired
8443,8443,x.ai,"Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services, Artificial Intelligence","New York, New York, United States",4/14/14,8/14/17,10000000,Series B,44300000,Operating
8444,8444,XTI Aircraft Company,"Science and Engineering, Information Technology, Transportation","Englewood, Colorado, United States",1/1/12,9/7/16,20000000,Series B,21000000,Operating
8445,8445,Yik Yak,"Apps, Media and Entertainment, Software, Internet Services","Atlanta, Georgia, United States",10/10/13,11/24/14,62000000,Series B,73500000,Closed
8446,8446,YourMechanic,"Commerce and Shopping, Transportation","Mountain View, California, United States",1/1/12,3/1/16,24000000,Series B,28000000,Operating
8447,8447,ZappRx,"Information Technology, Health Care, Mobile","Boston, Massachusetts, United States",1/1/12,4/20/17,25000000,Series B,41000000,Operating
8448,8448,Zerostack Inc.,"Hardware, Information Technology, Software, Internet Services","Mountain View, California, United States",1/1/14,10/20/15,16000000,Series B,21600000,Operating
8449,8449,Ziarco,"Biotechnology, Science and Engineering, Health Care","Palo Alto, California, United States",1/1/12,11/10/14,33000000,Series B,40601832,Was Acquired
8450,8450,ZingBox,"Information Technology, Data and Analytics, Software, Internet Services, Privacy and Security, Artificial Intelligence","Mountain View, California, United States",11/11/14,8/17/17,22000000,Series B,23500000,Operating
8451,8451,Zumper,"Commerce and Shopping, Real Estate","San Francisco, California, United States",1/1/12,10/18/16,17600000,Series B,31500000,Operating
8452,8452,Zymergen,"Biotechnology, Science and Engineering, Hardware, Data and Analytics, Software","Emeryville, California, United States",1/1/13,10/11/16,130000000,Series B,174140000,Operating
8453,8453,"ZypMedia, Inc.","Sales and Marketing, Advertising","San Francisco, California, United States",1/1/13,4/30/15,4424998,Series B,4424998,Operating
8454,8454,10X Genomics,"Biotechnology, Science and Engineering, Health Care","Pleasanton, California, United States",1/1/12,3/17/16,55000000,Series C,113000000,Operating
8455,8455,128 Technology,"Information Technology, Software, Internet Services, Privacy and Security","Burlington, Massachusetts, United States",7/7/14,5/31/17,21500000,Series C,57499347,Operating
8456,8456,Adallom,"Software, Internet Services, Privacy and Security","Palo Alto, California, United States",1/1/12,4/14/15,30000000,Series C,49500000,Was Acquired
8457,8457,Addiction Campuses of America,Health Care,"Brentwood, Tennessee, United States",1/1/14,5/15/15,3000000,Series C,8500000,Operating
8458,8458,AltSchool,"Information Technology, Education","San Francisco, California, United States",1/1/13,5/2/17,39999982,Series C,172999982,Operating
8459,8459,Amino,"Health Care, Financial Services, Mobile","San Francisco, California, United States",1/1/13,4/4/17,25000000,Series C,45000000,Operating
8460,8460,Amplitude,"Data and Analytics, Mobile","San Francisco, California, United States",1/1/12,8/10/17,30000000,Series C,56000000,Operating
